FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING	RESTING_MgO2/hr	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	FAS	NAS	MgO2/hr_Net	Swim performance	Notes		
LCKM154_31.5	Cockermouth Island	Leading	31.5	0.02800	2022-08-14	3	asus	2	AM	13:32:52	210.091	5.882548	2022-08-12	3	asus	2	AM	13:32:52	376.944	10.554432	1.794193945	166.853	4.671884	poor	used second slope; very similar to first slope		
LCKM158_31.5	Cockermouth Island	Leading	31.5	0.03457	2022-08-14	1	dell	1	AM	12:08:56	172.119	5.95015383	2022-08-18	2	dell	1	AM	10:28:59	274.373	9.48507461	1.594088973	102.254	3.53492078	okay	"okay swim, was second attempt to get max"		
LCKM163_31.5	Cockermouth Island	Leading	31.5	0.02371	2022-08-15	1	asus	2	AM	11:47:28	173.07	4.1034897	2022-08-15	1	asus	2	AM	11:47:28	400.847	9.50408237	2.316097533	227.777	5.40059267	good			
LCKM165_31.5	Cockermouth Island	Leading	31.5	0.03170	2022-08-15	3	asus	2	AM	12:42:06	211.413	6.7017921	2022-08-15	3	asus	2	AM	12:42:06	473.812	15.0198404	2.241167762	262.399	8.3180483	good			
LCKM166_31.5	Cockermouth Island	Leading	31.5	0.02788	2022-08-16	3	dell	1	PM	17:18:49	181.364	5.05642832	2022-08-16	3	dell	1	PM	17:18:49	386.794	10.78381672	2.132694471	205.43	5.7273884	good			
LCKM174_31.5	Cockermouth Island	Leading	31.5	0.02880	2022-08-17	4	dell	1	AM	11:42:43	248.706	7.1627328	2022-08-17	4	dell	1	AM	11:42:43	374.634	10.7894592	1.506332778	125.928	3.6267264	good	used third cycle		
LCKM176_31.5	Cockermouth Island	Leading	31.5	0.01345	2022-08-16	3	asus	2	PM	17:36:35	298.344	4.0127268	2022-08-16	3	asus	2	PM	17:36:35	525.276	7.0649622	1.760638726	226.932	3.0522354	good			
LCKM180_31.5	Cockermouth Island	Leading	31.5	0.02418	2022-08-14	2	asus	2	AM	12:58:30	222.765	5.3864577	2022-08-12	2	asus	2	AM	12:58:30	453.1362	10.95683332	2.034144502	230.3712	5.570375616	good			
LKES142_31.5	Keswick Island	Leading	31.5	0.04016	2022-08-16	3	dell	1	AM	11:12:45	209.674	8.42050784	2022-08-16	3	dell	1	AM	11:12:45	295.854	11.88149664	1.41101901	86.18	3.4609888	good			
LKES143_31.5	Keswick Island	Leading	31.5	0.04005	2022-08-15	4	asus	2	AM	13:09:13	240.858	9.6463629	2022-08-18	3	dell	1	AM	11:53:28	352.598	14.1215499	1.463924802	111.74	4.475187	good			
LKES145_31.5	Keswick Island	Leading	31.5	0.04235	2022-08-15	4	dell	1	AM	12:51:48	168.753	7.14668955	2022-08-15	4	dell	1	AM	12:51:48	394.144	16.6919984	2.335626626	225.391	9.54530885	good	used second slope  		
