FISH_ID	POPULATION	REGION	TEMPERATURE	WEIGHT	DRY_WEIGHT	RESTING_DATE	RESTING_CHAMBER	RESTING_SYSTEM	RESTING_SUMP	RESTING_AM_PM	RESTING_START_TIME	RESTING_ENDTIME	RESTING_RUNTIME	RESTING	RESTING_MgO2/hr	RESTING_RESPR	RESTING_MgO2/hr_RESPR	MAX_DATE	MAX_CHAMBER	MAX_SYSTEM	MAX_SUMP	MAX_AM_PM	MAX_START_TIME	MAX 	MAX_MgO2/hr	MAX_RESPR	MAX_MgO2/hr_RESPR	FAS	NAS	MgO2/hr_Net	steepest_slope	Swim performance	Notes
CTON065_27	Tongue Reef	Core	27	0.05278	0.03564	16/06/2022	1	dell	1	AM	9:34:00	13:50:39	4:16:39	146.479	7.73116162	210.53	7.5	29/06/2022	2	asus	2	PM	15:22	311.8648	11.11486147	577.5541	20.58403	2.744537333	367.0241	13.08403	1	poor	
CTON065_28.5	Tongue Reef	Core	28.5	0.05278	0.03564	17/07/2022	4	dell	1	AM	11:43:00	15:12:55	3:29:55	191.19	10.0910082	275.3	9.81	17/07/2022	4	dell	1	AM	11:43	407.537	14.52461868	544.5722	19.40855	1.978445464	269.2722	9.59855	1	okay	
CTON065_30	Tongue Reef	Core	30	0.05278	0.03564	1/08/2022	3	asus	2	AM	11:26:00	15:34:08	4:08:08	188.315	9.9392657	269.38	9.6	1/08/2022	3	asus	2	AM	11:26	366.085	13.0472694	597.578999	21.3558628	2.224569042	328.198999	11.7558628	1	okay	
CTON065_31.5	Tongue Reef	Core	31.5	0.05278	0.03564	16/08/2022	2	asus	2	AM	11:01:43	15:48:09	4:46:26	189.893	10.02255254	277.88	9.9	18/08/2022	2	asus	2	AM	12:13:10	359.339	12.80684196	591.7329	21.08936	2.130238384	313.8529	11.18936	1	good	
CTON067_27	Tongue Reef	Core	27	0.03618	0.03292	16/06/2022	4	asus	2	AM	10:36:35	13:50:33	3:13:58	193.76	7.0102368	211.88	6.98	27/06/2022	1	asus	2	PM	16:50	462.9024824	15.23874972	515.7565	16.97871	2.432479943	303.8765	9.99871	1	good	
CTON067_28.5	Tongue Reef	Core	28.5	0.03618	0.03292	18/07/2022	3	dell	1	AM	10:41:00	14:57:48	4:16:48	166.978	6.04126404	178.69	5.88	18/07/2022	3	dell	1	AM	10:41	310.214	10.21224488	461.4807	15.19194	2.583663265	282.7907	9.31194	3	good	
CTON067_30	Tongue Reef	Core	30	0.03618	0.03292	31/07/2022	1	dell	1	AM	10:13:00	15:15:12	5:02:12	161.95	5.859351	174.99	5.76	31/07/2022	1	dell	1	AM	10:13	435.396	14.33323632	582.4039336	19.22507635	3.337686866	407.4139336	13.46507635	1	good	
CTON068_27	Tongue Reef	Core	27	0.04077	0.03103	13/06/2022	4	dell	1	PM	11:31:25	15:20:31	3:49:06	109.481	4.46354037	137.77	4.28	28/06/2022	1	asus	2	AM	10:49	352.804657	10.94752851	482.6207	14.97572	3.499	344.8507	10.69572	1	good	
CTON068_28.5	Tongue Reef	Core	28.5	0.04077	0.03103	18/07/2022	3	asus	2	PM	16:47:00	20:09:40	3:22:40	127.317	5.19071409	162.65	5.05	18/07/2022	3	asus	2	PM	16:47	378.338	11.73982814	644.5755	20.00118	3.960629703	481.9255	14.95118	1	good	
CTON068_30	Tongue Reef	Core	30	0.04077	0.03103	30/07/2022	4	asus	2	PM	16:06:00	19:42:49	3:36:49	188.505	7.68534885	239.27	7.42	30/07/2022	4	asus	2	PM	16:06	425.38	13.1995414	561.9717	17.43798	2.350132075	322.7017	10.01798	1	good	
